company_code,fiscal_year,accounting_document,gl_account,reference_document,cost_center,profit_center,transaction_currency,amount_in_transaction_currency,company_code_currency,amount_in_company_code_currency,posting_date,document_date,accounting_document_type,accounting_document_item,assignment_reference,last_change_date_time,customer,financial_account_type,clearing_date,clearing_accounting_document,clearing_doc_fiscal_year
ABCD,2025,9400000220,15500020,90504219,,ABC001,INR,897.03,INR,897.03,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,RV,1,,2025-07-24 11:43:59+00:00,320000083,D,2025-04-02 00:00:00+00:00,9400635977.0,2025
ABCD,2025,9400000226,15500020,90504225,,ABC001,INR,897.0,INR,897.0,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,RV,1,,2025-07-24 11:43:59+00:00,320000083,D,2025-04-02 00:00:00+00:00,9400635973.0,2025
ABCD,2025,9400000231,15500020,90504230,,ABC001,INR,897.03,INR,897.03,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,RV,1,,2025-07-24 11:43:59+00:00,320000083,D,2025-04-02 00:00:00+00:00,9400635969.0,2025
ABCD,2025,9400000238,15500020,90504237,,ABC001,INR,597.0,INR,597.0,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,RV,1,,2025-07-24 11:43:59+00:00,320000083,D,2025-04-02 00:00:00+00:00,9400635964.0,2025
ABCD,2025,9400000239,15500020,90504238,,ABC001,INR,1017.03,INR,1017.03,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,RV,1,,2025-07-24 11:43:59+00:00,320000083,D,2025-04-02 00:00:00+00:00,9400635963.0,2025
ABCD,2025,9400000240,15500020,90504239,,ABC001,INR,897.03,INR,897.03,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,RV,1,,2025-07-24 11:43:59+00:00,320000083,D,2025-04-02 00:00:00+00:00,9400635962.0,2025
ABCD,2025,9400000243,15500020,90504242,,ABC001,INR,536.97,INR,536.97,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,RV,1,,2025-07-24 11:43:59+00:00,320000083,D,2025-04-02 00:00:00+00:00,9400635960.0,2025
ABCD,2025,9400000246,15500020,90504245,,ABC001,INR,1167.0,INR,1167.0,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,RV,1,,2025-07-24 11:43:59+00:00,320000083,D,2025-04-02 00:00:00+00:00,9400635958.0,2025
ABCD,2025,9400000247,15500020,90504246,,ABC001,INR,783.03,INR,783.03,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,RV,1,,2025-07-24 11:43:59+00:00,320000083,D,2025-04-02 00:00:00+00:00,9400635957.0,2025
ABCD,2025,9400000249,15500020,90504248,,ABC001,INR,765.0,INR,765.0,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,RV,1,,2025-04-03 11:32:07+00:00,320000083,D,,,0
ABCD,2025,9400000268,15500020,90504267,,ABC001,INR,1194.03,INR,1194.03,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,RV,1,,2025-07-24 11:43:59+00:00,320000083,D,2025-04-02 00:00:00+00:00,9400635943.0,2025
ABCD,2025,9400000270,15500020,90504269,,ABC001,INR,678.03,INR,678.03,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,RV,1,,2025-07-24 11:43:59+00:00,320000083,D,2025-04-02 00:00:00+00:00,9400635942.0,2025
ABCD,2025,9400000271,15500020,90504270,,ABC001,INR,1614.0,INR,1614.0,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,RV,1,,2025-07-24 11:43:59+00:00,320000083,D,2025-04-02 00:00:00+00:00,9400635941.0,2025
ABCD,2025,9400000272,15500020,90504272,,ABC001,INR,1494.0,INR,1494.0,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,RV,1,,2025-07-24 11:43:59+00:00,320000083,D,2025-04-02 00:00:00+00:00,9400635940.0,2025
ABCD,2025,9400000274,15500020,90504273,,ABC001,INR,1493.97,INR,1493.97,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,RV,1,,2025-07-24 11:43:59+00:00,320000083,D,2025-04-02 00:00:00+00:00,9400635939.0,2025
ABCD,2025,9400000275,15500020,90504274,,ABC001,INR,897.03,INR,897.03,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,RV,1,,2025-07-24 11:43:59+00:00,320000083,D,2025-04-02 00:00:00+00:00,9400635938.0,2025
ABCD,2025,9400000277,15500020,90504276,,ABC001,INR,761.97,INR,761.97,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,RV,1,,2025-07-24 11:43:59+00:00,320000083,D,2025-04-02 00:00:00+00:00,9400635937.0,2025
ABCD,2025,9400000281,15500020,90504280,,ABC001,INR,761.97,INR,761.97,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,RV,1,,2025-07-24 11:43:59+00:00,320000083,D,2025-04-02 00:00:00+00:00,9400635934.0,2025
ABCD,2025,9400000284,15500020,90504283,,ABC001,INR,1644.03,INR,1644.03,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,RV,1,,2025-07-24 11:43:59+00:00,320000083,D,2025-04-02 00:00:00+00:00,9400635932.0,2025
